Date,Close/Last,Open,High,Low
10/03/2024,2594.5,2594.5,2619.72,2588.82
10/02/2024,2620.66,2620.66,2623.3,2606.13
10/01/2024,2611.34,2611.34,2641.22,2603.65
09/30/2024,2626.44,2626.44,2649.49,2620.14
09/27/2024,2639.45,2637.24,2647.92,2632.41
09/26/2024,2642.43,2642.43,2649.92,2625.17
09/25/2024,2610.91,2610.91,2615.04,2582.87
09/24/2024,2590.01,2590.01,2608.84,2577.55
09/23/2024,2583.85,2583.85,2591.99,2563.66
09/20/2024,2579.15,2583.61,2595.6,2574.02
09/19/2024,2592.91,2592.91,2600.75,2565.71
09/18/2024,2544.25,2544.25,2555.21,2536.5
09/17/2024,2555.9,2555.9,2561.46,2537.84
09/16/2024,2529.75,2529.75,2534.58,2514.69
09/13/2024,2525.18,2518.33,2528.71,2513.08
09/12/2024,2510.54,2510.54,2537.73,2499.88
09/11/2024,2489.95,2489.95,2515.34,2482
09/10/2024,2495.76,2495.76,2521.74,2489.79
09/09/2024,2511.44,2511.44,2517.43,2495.69
09/06/2024,2480.99,2510.22,2516.08,2478.33
09/05/2024,2509.3,2509.3,2532.05,2505.43
09/04/2024,2531.72,2531.72,2544.27,2521.95
09/03/2024,2565.78,2565.78,2598.92,2562.19
08/30/2024,2589.98,2595.27,2595.46,2578.77
08/29/2024,2587.9,2587.9,2591.54,2564.23
08/28/2024,2562.54,2562.54,2572.84,2551.79
08/27/2024,2556.75,2556.75,2573.52,2553.02
08/26/2024,2567.12,2567.12,2572.98,2554.71
08/23/2024,2559.27,2561.36,2567.29,2536.81
08/22/2024,2541.1,2541.1,2550.48,2525.32
08/21/2024,2523.94,2523.94,2538.94,2514.89
08/20/2024,2527.29,2527.29,2546.89,2525.17
08/19/2024,2540.83,2540.83,2542.27,2533.45
08/16/2024,2533.09,2526.26,2539.83,2524.67
08/15/2024,2522.81,2522.81,2529.77,2495.28
08/14/2024,2494.19,2494.19,2496.54,2484.79
08/13/2024,2472.96,2472.96,2474.51,2453.49
08/12/2024,2460.9,2460.9,2473.94,2454.89
08/09/2024,2458.59,2455.1,2476.86,2447.58
08/08/2024,2450.39,2450.39,2454.06,2406.12
08/07/2024,2442.13,2442.13,2452.29,2416.54
08/06/2024,2402.96,2402.96,2439.99,2383.66
08/05/2024,2411.26,2411.26,2416.6,2356.65
08/02/2024,2467,2484.86,2522.28,2460.62
08/01/2024,2547.18,2547.18,2599.77,2544.35
07/31/2024,2609.33,2609.33,2622.42,2603.71
07/30/2024,2595.25,2595.25,2600.25,2585.51
07/29/2024,2580,2580,2603.14,2580
07/26/2024,2578.75,2562.37,2582.19,2553.24
07/25/2024,2562.37,2562.37,2562.87,2527.78
07/24/2024,2570.97,2570.97,2581.9,2564.7
07/23/2024,2596.43,2596.43,2610.35,2582.68
07/22/2024,2593.43,2593.43,2609.13,2577.63
07/19/2024,2570.63,2581.54,2594.32,2570.63
07/18/2024,2597.79,2597.79,2616.73,2584.51
07/17/2024,2597.56,2597.56,2602.79,2577.74
07/16/2024,2613.58,2613.58,2615.51,2592.22
07/15/2024,2605.29,2605.29,2621.48,2600.24
07/12/2024,2630.61,2608.39,2635.21,2582.9
07/11/2024,2574.28,2574.28,2579.66,2549.33
07/10/2024,2548.4,2548.4,2548.7,2528.14
07/09/2024,2534.22,2534.22,2563.04,2529.59
07/08/2024,2564.3,2564.3,2568.57,2547.15
07/05/2024,2556.53,2578.78,2583.32,2552.07
07/03/2024,2571.87,2569.91,2583.96,2566.16
07/02/2024,2554.12,2554.12,2573.85,2547.14
07/01/2024,2584.83,2584.83,2592.82,2570.91
06/28/2024,2569.45,2562.52,2576.48,2561.14
06/27/2024,2557.87,2557.87,2575.99,2557.08
06/26/2024,2572.24,2572.24,2595,2562.41
06/25/2024,2561.57,2561.57,2584.33,2557.76
06/24/2024,2594.54,2594.54,2595.8,2549.18
06/21/2024,2573.77,0,0,0
06/20/2024,2573.77,2567.7,2576.74,2557.96
06/18/2024,2554.21,2565.82,2565.82,2554.21
06/17/2024,2558.51,2558.51,2581.68,2548.01
06/14/2024,2561.6,2566.59,2592.43,2554.78
06/13/2024,2587.11,2587.11,2625.16,2586.07
06/12/2024,2627.12,2627.12,2632.19,2592.83
06/11/2024,2586.96,2586.96,2614.76,2574.42
06/10/2024,2600.72,2600.72,2612.26,2587.36
06/07/2024,2623.59,2610.31,2630.87,2605.17
06/06/2024,2609.72,2609.72,0,0
06/05/2024,2609.72,2612.94,2614.02,2598
